Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 70.0.3538.77,,2018-10-31 16:36:30,2018-10-31 16:43:04,"6m - 33,862s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 70.0.3538.77,,2018-10-31 16:36:30,2018-10-31 16:39:17,"2m - 46,483s",FAILED
openBrowser,Chrome 70.0.3538.77,,2018-10-31 16:36:31,2018-10-31 16:36:35,"3,926s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 16:36:35,2018-10-31 16:36:36,"0,655s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-10-31 16:36:36,2018-10-31 16:36:36,"0,187s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-10-31 16:36:36,2018-10-31 16:36:36,"0,158s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 16:36:36,2018-10-31 16:36:37,"0,311s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 16:36:37,2018-10-31 16:36:37,"0,264s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 16:36:37,2018-10-31 16:36:38,"0,867s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 16:36:38,2018-10-31 16:36:39,"1,106s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 16:36:39,2018-10-31 16:36:40,"0,614s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 16:36:40,2018-10-31 16:36:40,"0,212s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 16:36:40,2018-10-31 16:36:40,"0,637s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-10-31 16:36:40,2018-10-31 16:36:42,"1,126s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 16:36:42,2018-10-31 16:36:42,"0,634s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 16:36:42,2018-10-31 16:36:43,"0,659s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-10-31 16:36:43,2018-10-31 16:36:43,"0,003s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 16:36:43,2018-10-31 16:38:17,"1m - 34,079s",FAILED
Statement - Catch (Exception e),Chrome 70.0.3538.77,,2018-10-31 16:38:17,2018-10-31 16:38:17,"0,003s",PASSED
refresh,Chrome 70.0.3538.77,,2018-10-31 16:38:17,2018-10-31 16:38:17,"0,374s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-10-31 16:38:17,2018-10-31 16:38:17,"0,002s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 16:38:17,2018-10-31 16:38:23,"6,104s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 16:38:23,2018-10-31 16:38:24,"0,681s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 16:38:24,2018-10-31 16:38:24,"0,229s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 16:38:24,2018-10-31 16:38:25,"0,642s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 16:38:25,2018-10-31 16:38:25,"0,546s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 16:38:25,2018-10-31 16:38:26,"0,270s",PASSED
