Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 14:16:36,2018-10-30 14:20:54,"4m - 17,425s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-30 14:16:37,2018-10-30 14:18:12,"1m - 34,726s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 14:16:39,2018-10-30 14:16:45,"5,642s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 14:16:45,2018-10-30 14:16:47,"2,052s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 14:16:47,2018-10-30 14:16:47,"0,201s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 14:16:47,2018-10-30 14:16:47,"0,306s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 14:16:47,2018-10-30 14:16:48,"0,534s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 14:16:48,2018-10-30 14:16:48,"0,428s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 14:16:48,2018-10-30 14:16:49,"1,355s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 14:16:49,2018-10-30 14:16:51,"1,535s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 14:16:51,2018-10-30 14:16:52,"0,715s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 14:16:52,2018-10-30 14:16:52,"0,209s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 14:16:52,2018-10-30 14:16:53,"0,761s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 14:16:53,2018-10-30 14:16:55,"2,441s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 14:16:55,2018-10-30 14:16:58,"2,764s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 14:16:58,2018-10-30 14:16:59,"1,182s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 14:16:59,2018-10-30 14:16:59,"0,003s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 14:16:59,2018-10-30 14:17:40,"41,037s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 14:17:40,2018-10-30 14:18:12,"31,774s",FAILED
,,,,,,
