Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,IE 11,,2018-10-30 13:26:02,2018-10-30 13:35:20,"9m - 17,793s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,IE 11,,2018-10-30 13:26:03,2018-10-30 13:29:29,"3m - 26,389s",PASSED
openBrowser,IE 11,,2018-10-30 13:26:05,2018-10-30 13:26:11,"6,100s",PASSED
navigateToUrl,IE 11,,2018-10-30 13:26:11,2018-10-30 13:26:12,"0,704s",PASSED
maximizeWindow,IE 11,,2018-10-30 13:26:12,2018-10-30 13:26:12,"0,047s",PASSED
waitForElementClickable,IE 11,,2018-10-30 13:26:12,2018-10-30 13:26:24,"12,174s",PASSED
setText,IE 11,,2018-10-30 13:26:24,2018-10-30 13:26:25,"0,882s",PASSED
setText,IE 11,,2018-10-30 13:26:25,2018-10-30 13:26:26,"0,728s",PASSED
click,IE 11,,2018-10-30 13:26:26,2018-10-30 13:26:30,"4,589s",PASSED
waitForElementPresent,IE 11,,2018-10-30 13:26:30,2018-10-30 13:26:31,"0,940s",PASSED
click,IE 11,,2018-10-30 13:26:31,2018-10-30 13:26:33,"1,920s",PASSED
waitForElementPresent,IE 11,,2018-10-30 13:26:33,2018-10-30 13:26:34,"0,544s",PASSED
click,IE 11,,2018-10-30 13:26:34,2018-10-30 13:26:36,"2,033s",PASSED
switchToWindowUrl,IE 11,,2018-10-30 13:26:36,2018-10-30 13:26:58,"22,746s",PASSED
waitForElementVisible,IE 11,,2018-10-30 13:26:58,2018-10-30 13:26:59,"0,873s",PASSED
selectOptionByValue,IE 11,,2018-10-30 13:26:59,2018-10-30 13:27:02,"2,656s",PASSED
Statement - verifyIsPortalOpen(),IE 11,,2018-10-30 13:27:02,2018-10-30 13:27:02,"0,002s",PASSED
Statement - Try,IE 11,,2018-10-30 13:27:02,2018-10-30 13:27:22,"20,213s",PASSED
setText,IE 11,,2018-10-30 13:27:22,2018-10-30 13:27:23,"0,743s",PASSED
click,IE 11,,2018-10-30 13:27:23,2018-10-30 13:27:24,"1,248s",PASSED
waitForElementPresent,IE 11,,2018-10-30 13:27:24,2018-10-30 13:27:25,"1,185s",PASSED
click,IE 11,,2018-10-30 13:27:25,2018-10-30 13:27:27,"2,253s",PASSED
waitForElementVisible,IE 11,,2018-10-30 13:27:27,2018-10-30 13:27:29,"1,484s",PASSED
click,IE 11,,2018-10-30 13:27:29,2018-10-30 13:27:31,"1,574s",PASSED
waitForElementVisible,IE 11,,2018-10-30 13:27:31,2018-10-30 13:27:31,"0,306s",PASSED
