Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 13:48:31,2018-10-30 13:52:56,"4m - 24,845s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-30 13:48:32,2018-10-30 13:50:28,"1m - 56,307s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 13:48:33,2018-10-30 13:48:39,"5,677s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 13:48:39,2018-10-30 13:48:52,"12,912s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 13:48:52,2018-10-30 13:48:52,"0,178s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 13:48:52,2018-10-30 13:48:52,"0,295s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:48:52,2018-10-30 13:48:53,"0,445s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:48:53,2018-10-30 13:48:53,"0,352s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:48:53,2018-10-30 13:49:02,"8,738s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:49:02,2018-10-30 13:49:04,"2,540s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:49:04,2018-10-30 13:49:05,"0,644s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:49:05,2018-10-30 13:49:05,"0,206s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:49:05,2018-10-30 13:49:06,"0,643s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 13:49:06,2018-10-30 13:49:08,"2,337s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 13:49:08,2018-10-30 13:49:11,"3,327s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 13:49:11,2018-10-30 13:49:14,"2,800s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 13:49:14,2018-10-30 13:49:14,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 13:49:14,2018-10-30 13:49:55,"41,017s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:49:55,2018-10-30 13:50:28,"32,636s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Zona,Chrome 69.0.3497.100,,2018-10-30 13:50:28,2018-10-30 13:52:14,"1m - 46,626s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 13:50:29,2018-10-30 13:50:32,"2,726s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 13:50:32,2018-10-30 13:50:34,"1,851s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 13:50:34,2018-10-30 13:50:34,"0,148s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 13:50:34,2018-10-30 13:50:34,"0,100s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:50:34,2018-10-30 13:50:34,"0,308s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:50:34,2018-10-30 13:50:34,"0,287s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:50:34,2018-10-30 13:50:36,"1,051s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:50:36,2018-10-30 13:50:37,"1,064s",PASSED
