Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 15:33:45,2018-10-30 15:34:59,"1m - 14,092s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Prestador,Chrome 69.0.3497.100,,2018-10-30 15:33:45,2018-10-30 15:34:58,"1m - 12,349s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:33:47,2018-10-30 15:33:54,"6,610s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:33:54,2018-10-30 15:34:05,"10,910s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:34:05,2018-10-30 15:34:05,"0,206s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:34:05,2018-10-30 15:34:05,"0,295s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:34:05,2018-10-30 15:34:06,"0,456s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:34:06,2018-10-30 15:34:06,"0,392s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:34:06,2018-10-30 15:34:10,"3,925s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:34:10,2018-10-30 15:34:13,"2,593s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:34:13,2018-10-30 15:34:13,"0,466s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:34:13,2018-10-30 15:34:13,"0,210s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:34:13,2018-10-30 15:34:14,"0,965s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 15:34:14,2018-10-30 15:34:24,"9,667s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:34:24,2018-10-30 15:34:31,"7,449s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:34:31,2018-10-30 15:34:36,"4,542s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 15:34:36,2018-10-30 15:34:36,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:34:36,2018-10-30 15:34:57,"21,203s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:34:57,2018-10-30 15:34:58,"0,550s",FAILED
