Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-29 08:31:16,2018-10-29 08:36:00,"4m - 43,853s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-29 08:31:17,2018-10-29 08:33:05,"1m - 47,956s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 08:31:18,2018-10-29 08:31:22,"3,811s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 08:31:22,2018-10-29 08:31:22,"0,688s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-29 08:31:22,2018-10-29 08:31:22,"0,171s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-29 08:31:22,2018-10-29 08:31:23,"0,203s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:31:23,2018-10-29 08:31:23,"0,281s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:31:23,2018-10-29 08:31:23,"0,252s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:23,2018-10-29 08:31:24,"0,683s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:31:24,2018-10-29 08:31:25,"1,064s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:25,2018-10-29 08:31:25,"0,493s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:31:25,2018-10-29 08:31:26,"0,150s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:26,2018-10-29 08:31:26,"0,499s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-29 08:31:26,2018-10-29 08:31:27,"1,128s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:31:27,2018-10-29 08:31:28,"0,870s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:31:28,2018-10-29 08:31:29,"0,639s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-29 08:31:29,2018-10-29 08:31:29,"0,001s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:31:29,2018-10-29 08:31:49,"20,098s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:31:49,2018-10-29 08:31:49,"0,307s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:49,2018-10-29 08:31:49,"0,162s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:31:49,2018-10-29 08:31:50,"0,803s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:50,2018-10-29 08:31:50,"0,328s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:31:50,2018-10-29 08:31:55,"4,778s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:55,2018-10-29 08:31:56,"0,291s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:31:56,2018-10-29 08:31:56,"0,160s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:31:56,2018-10-29 08:31:56,"0,225s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-29 08:31:56,2018-10-29 08:31:56,"0,020s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:31:56,2018-10-29 08:32:07,"10,869s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-29 08:32:07,2018-10-29 08:32:07,"0,001s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:32:07,2018-10-29 08:32:10,"3,196s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:32:10,2018-10-29 08:32:10,"0,268s",PASSED
Statement - selectOptionAutocomplete(),Chrome 69.0.3497.100,,2018-10-29 08:32:10,2018-10-29 08:32:10,"0,001s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-29 08:32:10,2018-10-29 08:32:15,"5,001s",PASSED
Statement - to = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Servicio/autocomplete_input),Chrome 69.0.3497.100,,2018-10-29 08:32:15,2018-10-29 08:32:15,"0,012s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:15,2018-10-29 08:32:16,"0,302s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:32:16,2018-10-29 08:32:16,"0,249s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:16,2018-10-29 08:32:16,"0,324s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:32:16,2018-10-29 08:32:16,"0,142s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:32:16,2018-10-29 08:32:17,"0,193s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:32:17,2018-10-29 08:32:17,"0,297s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:32:17,2018-10-29 08:32:20,"3,002s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:32:20,2018-10-29 08:32:20,"0,163s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:32:20,2018-10-29 08:32:20,"0,301s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:32:20,2018-10-29 08:32:23,"3,001s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:32:23,2018-10-29 08:32:23,"0,119s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:32:23,2018-10-29 08:32:26,"3,001s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:32:26,2018-10-29 08:32:27,"0,190s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:27,2018-10-29 08:32:27,"0,289s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:32:27,2018-10-29 08:32:30,"3,003s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:30,2018-10-29 08:32:30,"0,396s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:32:30,2018-10-29 08:32:30,"0,112s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:30,2018-10-29 08:32:50,"19,834s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:32:50,2018-10-29 08:32:51,"0,320s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-29 08:32:51,2018-10-29 08:32:53,"2,216s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:32:53,2018-10-29 08:32:56,"3,001s",PASSED
