Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 15:24:13,2018-10-30 15:25:52,"1m - 39,772s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Prestador,Chrome 69.0.3497.100,,2018-10-30 15:24:14,2018-10-30 15:25:51,"1m - 37,907s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:24:16,2018-10-30 15:24:22,"6,345s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:24:22,2018-10-30 15:24:27,"4,397s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:24:27,2018-10-30 15:24:27,"0,182s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:24:27,2018-10-30 15:24:27,"0,296s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:24:27,2018-10-30 15:24:28,"0,389s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:24:28,2018-10-30 15:24:28,"0,434s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:24:28,2018-10-30 15:24:30,"1,547s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:24:30,2018-10-30 15:24:31,"1,179s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:24:31,2018-10-30 15:24:32,"0,800s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:24:32,2018-10-30 15:24:32,"0,287s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:24:32,2018-10-30 15:24:33,"0,756s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 15:24:33,2018-10-30 15:24:35,"2,407s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:24:35,2018-10-30 15:24:40,"4,480s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:24:40,2018-10-30 15:24:41,"0,999s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 15:24:41,2018-10-30 15:24:41,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:24:41,2018-10-30 15:25:01,"20,182s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:25:01,2018-10-30 15:25:01,"0,567s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:25:01,2018-10-30 15:25:02,"0,302s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:25:02,2018-10-30 15:25:03,"1,186s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:25:03,2018-10-30 15:25:03,"0,389s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:25:03,2018-10-30 15:25:08,"4,942s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:25:08,2018-10-30 15:25:08,"0,316s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:25:08,2018-10-30 15:25:09,"0,146s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:25:09,2018-10-30 15:25:09,"0,263s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-30 15:25:09,2018-10-30 15:25:09,"0,022s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:25:09,2018-10-30 15:25:26,"17,081s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-30 15:25:26,2018-10-30 15:25:26,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:25:26,2018-10-30 15:25:50,"24,310s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:25:50,2018-10-30 15:25:51,"1,199s",FAILED
