Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 70.0.3538.77,,2018-10-31 17:04:31,2018-10-31 17:13:43,"9m - 11,657s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 70.0.3538.77,,2018-10-31 17:04:32,2018-10-31 17:05:41,"1m - 8,843s",FAILED
openBrowser,Chrome 70.0.3538.77,,2018-10-31 17:04:33,2018-10-31 17:04:37,"3,724s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 17:04:37,2018-10-31 17:04:37,"0,659s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-10-31 17:04:37,2018-10-31 17:04:38,"0,175s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-10-31 17:04:38,2018-10-31 17:04:38,"0,204s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 17:04:38,2018-10-31 17:04:38,"0,345s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 17:04:38,2018-10-31 17:04:38,"0,264s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:38,2018-10-31 17:04:39,"0,837s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 17:04:39,2018-10-31 17:04:40,"0,968s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:40,2018-10-31 17:04:41,"0,473s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 17:04:41,2018-10-31 17:04:41,"0,148s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:41,2018-10-31 17:04:42,"0,821s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-10-31 17:04:42,2018-10-31 17:04:42,"0,713s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 17:04:42,2018-10-31 17:04:44,"1,365s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 17:04:44,2018-10-31 17:04:44,"0,641s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-10-31 17:04:44,2018-10-31 17:04:44,"0,003s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 17:04:44,2018-10-31 17:04:50,"5,723s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 17:04:50,2018-10-31 17:04:51,"0,581s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:51,2018-10-31 17:04:51,"0,326s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 17:04:51,2018-10-31 17:04:52,"0,834s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:52,2018-10-31 17:04:52,"0,299s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 17:04:52,2018-10-31 17:04:55,"2,813s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:55,2018-10-31 17:04:55,"0,266s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 17:04:55,2018-10-31 17:04:55,"0,129s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 17:04:55,2018-10-31 17:04:56,"0,267s",PASSED
