Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-26 11:56:15,2018-10-26 12:00:28,"4m - 12,144s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-26 11:56:16,2018-10-26 11:57:44,"1m - 28,378s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-26 11:56:17,2018-10-26 11:56:21,"3,811s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-26 11:56:21,2018-10-26 11:56:22,"0,574s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-26 11:56:22,2018-10-26 11:56:22,"0,182s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-26 11:56:22,2018-10-26 11:56:22,"0,149s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:56:22,2018-10-26 11:56:22,"0,241s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:56:22,2018-10-26 11:56:23,"0,211s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:23,2018-10-26 11:56:23,"0,531s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:56:23,2018-10-26 11:56:24,"0,915s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:24,2018-10-26 11:56:24,"0,490s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:56:24,2018-10-26 11:56:25,"0,151s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:25,2018-10-26 11:56:25,"0,567s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-26 11:56:25,2018-10-26 11:56:26,"0,785s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:56:26,2018-10-26 11:56:27,"0,851s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-26 11:56:27,2018-10-26 11:56:28,"0,702s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-26 11:56:28,2018-10-26 11:56:28,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-26 11:56:28,2018-10-26 11:56:48,"20,084s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:56:48,2018-10-26 11:56:48,"0,314s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:48,2018-10-26 11:56:48,"0,152s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:56:48,2018-10-26 11:56:49,"0,575s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:49,2018-10-26 11:56:49,"0,338s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:56:49,2018-10-26 11:56:50,"0,685s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:50,2018-10-26 11:56:50,"0,229s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:56:50,2018-10-26 11:56:51,"0,606s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:56:51,2018-10-26 11:56:51,"0,166s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-26 11:56:51,2018-10-26 11:56:51,"0,021s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-26 11:56:51,2018-10-26 11:57:02,"10,776s",PASSED
