Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 13:18:15,2018-10-30 13:23:44,"5m - 28,921s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-30 13:18:15,2018-10-30 13:20:05,"1m - 49,555s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 13:18:17,2018-10-30 13:18:23,"5,441s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 13:18:23,2018-10-30 13:18:25,"2,128s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 13:18:25,2018-10-30 13:18:25,"0,173s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 13:18:25,2018-10-30 13:18:25,"0,185s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:18:25,2018-10-30 13:18:25,"0,313s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:18:25,2018-10-30 13:18:26,"0,404s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:26,2018-10-30 13:18:27,"1,182s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:18:27,2018-10-30 13:18:28,"1,177s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:28,2018-10-30 13:18:29,"0,592s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:18:29,2018-10-30 13:18:29,"0,153s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:29,2018-10-30 13:18:30,"0,693s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 13:18:30,2018-10-30 13:18:33,"3,894s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 13:18:33,2018-10-30 13:18:36,"2,241s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 13:18:36,2018-10-30 13:18:37,"1,158s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 13:18:37,2018-10-30 13:18:37,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 13:18:37,2018-10-30 13:18:57,"20,103s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:18:57,2018-10-30 13:18:57,"0,370s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:57,2018-10-30 13:18:58,"0,216s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:18:58,2018-10-30 13:18:58,"0,741s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:18:58,2018-10-30 13:18:59,"0,320s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 13:18:59,2018-10-30 13:19:01,"2,891s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:19:02,2018-10-30 13:19:02,"0,290s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 13:19:02,2018-10-30 13:19:02,"0,134s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:19:02,2018-10-30 13:19:02,"0,318s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-30 13:19:02,2018-10-30 13:19:02,"0,022s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 13:19:02,2018-10-30 13:19:17,"14,461s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-30 13:19:17,2018-10-30 13:19:17,"0,001s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 13:19:17,2018-10-30 13:19:33,"15,848s",FAILED
Statement - Catch (Exception e),Chrome 69.0.3497.100,,2018-10-30 13:19:33,2018-10-30 13:19:33,"0,036s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:19:33,2018-10-30 13:20:05,"32,285s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Zona,Chrome 69.0.3497.100,,2018-10-30 13:20:05,2018-10-30 13:22:03,"1m - 57,915s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 13:20:06,2018-10-30 13:20:09,"2,600s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 13:20:09,2018-10-30 13:20:11,"1,973s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 13:20:11,2018-10-30 13:20:11,"0,179s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 13:20:11,2018-10-30 13:20:11,"0,131s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:20:11,2018-10-30 13:20:11,"0,352s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 13:20:11,2018-10-30 13:20:12,"0,445s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:20:12,2018-10-30 13:20:13,"1,156s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:20:13,2018-10-30 13:20:14,"1,003s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 13:20:14,2018-10-30 13:20:14,"0,649s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 13:20:14,2018-10-30 13:20:15,"0,211s",PASSED
