Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 15:36:12,2018-10-30 15:38:38,"2m - 25,799s",PASSED
,,,,,,
Test Cases/Test Buscar Prestadores - Prestador,Chrome 69.0.3497.100,,2018-10-30 15:36:13,2018-10-30 15:38:38,"2m - 24,871s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:36:15,2018-10-30 15:36:20,"5,403s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:36:20,2018-10-30 15:36:30,"9,233s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:36:30,2018-10-30 15:36:30,"0,190s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:36:30,2018-10-30 15:36:30,"0,317s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:36:30,2018-10-30 15:36:31,"0,439s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:36:31,2018-10-30 15:36:31,"0,423s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:36:31,2018-10-30 15:36:34,"3,337s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:36:34,2018-10-30 15:36:36,"2,060s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:36:36,2018-10-30 15:36:37,"0,468s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:36:37,2018-10-30 15:36:37,"0,212s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:36:37,2018-10-30 15:36:38,"0,898s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 15:36:38,2018-10-30 15:36:45,"7,179s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:36:45,2018-10-30 15:36:51,"5,908s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:36:51,2018-10-30 15:36:53,"1,706s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 15:36:53,2018-10-30 15:36:53,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:36:53,2018-10-30 15:37:13,"20,138s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:37:13,2018-10-30 15:37:13,"0,472s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:37:13,2018-10-30 15:37:14,"0,302s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:37:14,2018-10-30 15:37:15,"1,139s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:37:15,2018-10-30 15:37:15,"0,418s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:37:15,2018-10-30 15:37:21,"5,972s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:37:21,2018-10-30 15:37:22,"0,596s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:37:22,2018-10-30 15:37:22,"0,231s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:37:22,2018-10-30 15:37:22,"0,297s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-30 15:37:22,2018-10-30 15:37:22,"0,026s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:37:22,2018-10-30 15:37:39,"16,462s",PASSED
