Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 15:28:10,2018-10-30 15:30:07,"1m - 57,602s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Prestador,Chrome 69.0.3497.100,,2018-10-30 15:28:10,2018-10-30 15:30:06,"1m - 56,049s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:28:12,2018-10-30 15:28:16,"4,683s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:28:16,2018-10-30 15:28:19,"2,178s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:28:19,2018-10-30 15:28:19,"0,172s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:28:19,2018-10-30 15:28:19,"0,245s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:28:19,2018-10-30 15:28:19,"0,405s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:28:19,2018-10-30 15:28:20,"0,483s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:20,2018-10-30 15:28:21,"1,446s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:28:21,2018-10-30 15:28:23,"1,546s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:23,2018-10-30 15:28:24,"0,561s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:28:24,2018-10-30 15:28:24,"0,198s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:24,2018-10-30 15:28:24,"0,712s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 15:28:24,2018-10-30 15:28:26,"1,761s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:28:26,2018-10-30 15:28:28,"1,772s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:28:28,2018-10-30 15:28:29,"0,882s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 15:28:29,2018-10-30 15:28:29,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:28:29,2018-10-30 15:28:49,"20,108s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:28:49,2018-10-30 15:28:49,"0,435s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:49,2018-10-30 15:28:50,"0,191s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:28:50,2018-10-30 15:28:50,"0,618s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:50,2018-10-30 15:28:51,"0,328s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:28:51,2018-10-30 15:28:54,"2,964s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:54,2018-10-30 15:28:54,"0,338s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:28:54,2018-10-30 15:28:54,"0,175s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:28:54,2018-10-30 15:28:54,"0,275s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-30 15:28:54,2018-10-30 15:28:54,"0,034s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:28:54,2018-10-30 15:29:09,"14,277s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-30 15:29:09,2018-10-30 15:29:09,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:29:09,2018-10-30 15:29:14,"5,469s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:29:14,2018-10-30 15:29:15,"0,576s",PASSED
Statement - selectOptionAutocomplete(),Chrome 69.0.3497.100,,2018-10-30 15:29:15,2018-10-30 15:29:15,"0,001s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-30 15:29:15,2018-10-30 15:29:20,"5,001s",PASSED
Statement - to = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Servicio/autocomplete_input),Chrome 69.0.3497.100,,2018-10-30 15:29:20,2018-10-30 15:29:20,"0,014s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:29:20,2018-10-30 15:29:20,"0,382s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:29:20,2018-10-30 15:29:20,"0,342s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:29:20,2018-10-30 15:29:21,"0,478s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:29:21,2018-10-30 15:29:21,"0,283s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:29:21,2018-10-30 15:29:22,"0,385s",PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 69.0.3497.100,,2018-10-30 15:29:22,2018-10-30 15:29:24,"2,001s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:29:24,2018-10-30 15:29:24,"0,137s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:29:24,2018-10-30 15:29:24,"0,366s",PASSED
