Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 70.0.3538.77,,2018-11-02 14:19:44,2018-11-02 14:29:04,"9m - 19,738s",PASSED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 70.0.3538.77,,2018-11-02 14:19:45,2018-11-02 14:22:49,"3m - 4,393s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 14:19:46,2018-11-02 14:19:50,"4,085s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 14:19:50,2018-11-02 14:19:51,"0,538s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-02 14:19:51,2018-11-02 14:19:51,"0,188s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 14:19:51,2018-11-02 14:19:51,"0,163s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:19:51,2018-11-02 14:19:51,"0,315s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:19:51,2018-11-02 14:19:52,"0,286s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:19:52,2018-11-02 14:19:53,"0,896s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 14:19:53,2018-11-02 14:19:54,"1,090s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:19:54,2018-11-02 14:19:54,"0,583s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 14:19:54,2018-11-02 14:19:54,"0,170s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:19:54,2018-11-02 14:19:55,"0,606s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-11-02 14:19:55,2018-11-02 14:19:56,"0,657s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 14:19:56,2018-11-02 14:19:56,"0,750s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 14:19:56,2018-11-02 14:19:57,"0,882s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-11-02 14:19:57,2018-11-02 14:19:57,"0,002s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 14:19:57,2018-11-02 14:20:03,"6,190s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:20:03,2018-11-02 14:20:04,"0,423s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:20:04,2018-11-02 14:20:04,"0,202s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 14:20:04,2018-11-02 14:20:05,"0,749s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:20:05,2018-11-02 14:20:05,"0,386s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 14:20:05,2018-11-02 14:20:08,"2,368s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:20:08,2018-11-02 14:20:08,"0,277s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 14:20:08,2018-11-02 14:20:08,"0,131s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 14:20:08,2018-11-02 14:20:08,"0,287s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 70.0.3538.77,,2018-11-02 14:20:08,2018-11-02 14:20:08,"0,018s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 14:20:08,2018-11-02 14:20:22,"13,246s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 70.0.3538.77,,2018-11-02 14:20:22,2018-11-02 14:20:22,"0,001s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 14:20:22,2018-11-02 14:20:23,"1,395s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 14:20:23,2018-11-02 14:20:23,"0,419s",PASSED
Statement - selectOptionAutocomplete(),Chrome 70.0.3538.77,,2018-11-02 14:20:23,2018-11-02 14:20:23,"0,000s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 14:20:23,2018-11-02 14:20:24,"0,195s",PASSED
