Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-30 15:17:21,2018-10-30 15:22:53,"5m - 32,009s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-30 15:17:22,2018-10-30 15:19:43,"2m - 20,376s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:17:24,2018-10-30 15:17:30,"6,072s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:17:30,2018-10-30 15:17:33,"2,628s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:17:33,2018-10-30 15:17:33,"0,186s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-30 15:17:33,2018-10-30 15:17:34,"0,490s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:17:34,2018-10-30 15:17:35,"1,290s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:17:35,2018-10-30 15:17:36,"0,673s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:17:36,2018-10-30 15:17:38,"2,739s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:17:38,2018-10-30 15:17:40,"1,419s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:17:40,2018-10-30 15:17:41,"0,930s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:17:41,2018-10-30 15:17:41,"0,270s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:17:41,2018-10-30 15:17:42,"0,990s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-30 15:17:42,2018-10-30 15:17:44,"1,895s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:17:44,2018-10-30 15:17:46,"1,958s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-30 15:17:46,2018-10-30 15:17:47,"1,084s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-30 15:17:47,2018-10-30 15:17:47,"0,003s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:17:47,2018-10-30 15:18:07,"20,174s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:18:07,2018-10-30 15:18:08,"0,653s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:18:08,2018-10-30 15:18:08,"0,311s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-30 15:18:08,2018-10-30 15:18:09,"0,948s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:18:09,2018-10-30 15:18:10,"0,547s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:18:10,2018-10-30 15:18:15,"5,205s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:18:15,2018-10-30 15:18:15,"0,452s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 15:18:15,2018-10-30 15:18:15,"0,147s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:18:15,2018-10-30 15:18:16,"0,248s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-30 15:18:16,2018-10-30 15:18:16,"0,033s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:18:16,2018-10-30 15:18:32,"16,447s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-30 15:18:32,2018-10-30 15:18:32,"0,001s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-30 15:18:32,2018-10-30 15:18:40,"7,667s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:18:40,2018-10-30 15:18:40,"0,543s",PASSED
Statement - selectOptionAutocomplete(),Chrome 69.0.3497.100,,2018-10-30 15:18:40,2018-10-30 15:18:40,"0,001s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-30 15:18:40,2018-10-30 15:18:45,"5,002s",PASSED
Statement - to = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Servicio/autocomplete_input),Chrome 69.0.3497.100,,2018-10-30 15:18:45,2018-10-30 15:18:45,"0,013s",PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:18:45,2018-10-30 15:18:46,"0,344s",PASSED
