Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-29 08:29:51,2018-10-29 08:30:05,"14,230s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-29 08:29:51,2018-10-29 08:29:57,"5,745s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 08:29:53,2018-10-29 08:29:57,"4,104s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 08:29:57,2018-10-29 08:29:57,"0,329s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Zona,Chrome 69.0.3497.100,,2018-10-29 08:29:57,2018-10-29 08:30:01,"3,586s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 08:29:58,2018-10-29 08:30:00,"2,441s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 08:30:00,2018-10-29 08:30:01,"0,280s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Prestador,Chrome 69.0.3497.100,,2018-10-29 08:30:01,2018-10-29 08:30:04,"3,526s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 08:30:01,2018-10-29 08:30:04,"2,423s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 08:30:04,2018-10-29 08:30:04,"0,276s",FAILED
