Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-29 08:42:11,2018-10-29 08:45:32,"3m - 20,135s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-29 08:42:12,2018-10-29 08:43:55,"1m - 43,380s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 08:42:13,2018-10-29 08:42:17,"3,858s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 08:42:17,2018-10-29 08:42:18,"0,696s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-29 08:42:18,2018-10-29 08:42:18,"0,155s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-29 08:42:18,2018-10-29 08:42:18,"0,180s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:42:18,2018-10-29 08:42:18,"0,263s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:42:18,2018-10-29 08:42:19,"0,214s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:19,2018-10-29 08:42:19,"0,703s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:42:19,2018-10-29 08:42:21,"1,441s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:21,2018-10-29 08:42:21,"0,494s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:42:21,2018-10-29 08:42:22,"0,163s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:22,2018-10-29 08:42:22,"0,679s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-29 08:42:22,2018-10-29 08:42:23,"0,835s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:42:23,2018-10-29 08:42:24,"1,226s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:42:24,2018-10-29 08:42:25,"0,640s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-29 08:42:25,2018-10-29 08:42:25,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:42:25,2018-10-29 08:42:45,"20,094s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:42:45,2018-10-29 08:42:45,"0,308s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:45,2018-10-29 08:42:45,"0,155s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:42:45,2018-10-29 08:42:46,"0,461s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:46,2018-10-29 08:42:46,"0,357s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:42:46,2018-10-29 08:42:47,"1,178s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:47,2018-10-29 08:42:48,"0,250s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-29 08:42:48,2018-10-29 08:42:48,"0,626s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:42:48,2018-10-29 08:42:49,"0,206s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-29 08:42:49,2018-10-29 08:42:49,"0,020s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:42:49,2018-10-29 08:42:59,"10,804s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-29 08:42:59,2018-10-29 08:42:59,"0,001s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-29 08:42:59,2018-10-29 08:43:03,"3,157s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 08:43:03,2018-10-29 08:43:03,"0,240s",PASSED
Statement - selectOptionAutocomplete(),Chrome 69.0.3497.100,,2018-10-29 08:43:03,2018-10-29 08:43:03,"0,000s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-29 08:43:03,2018-10-29 08:43:08,"5,001s",PASSED
Statement - to = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Servicio/autocomplete_input),Chrome 69.0.3497.100,,2018-10-29 08:43:08,2018-10-29 08:43:08,"0,012s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:43:08,2018-10-29 08:43:08,"0,295s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:43:08,2018-10-29 08:43:08,"0,240s",PASSED
click,Chrome 69.0.3497.100,,2018-10-29 08:43:08,2018-10-29 08:43:09,"0,337s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 08:43:09,2018-10-29 08:43:09,"0,121s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 08:43:09,2018-10-29 08:43:09,"0,184s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:43:09,2018-10-29 08:43:09,"0,256s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:43:09,2018-10-29 08:43:12,"3,001s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:43:12,2018-10-29 08:43:12,"0,126s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:43:12,2018-10-29 08:43:13,"0,220s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:43:13,2018-10-29 08:43:16,"3,001s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-29 08:43:16,2018-10-29 08:43:16,"0,128s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-29 08:43:16,2018-10-29 08:43:19,"3,002s",PASSED
